非公開,質問,回答,質問者,回答者,日付,Discord元リンク,回答数
,本当にどうでもいい質問でごめんなさい💦  入会したばっかりで どれにしようかなぁって アーカイブ眺めてるだけで 15分ぐらい経っちゃうんですけど😂  皆さんはどういう順番で 進めていってますか？  私はとにかく、体が硬いのと 腰痛持ちなので  今51歳ですが 今、頑張れば 70代の自分にとっても感謝されるんじゃないかと思って 頑張ってます💕  それと2年前に 乳がんを経験して リンパ郭清と 大きな手術を3回したのですが  それでもめっちゃ元気！  ってところを たくさんの人に見てもらって 乳がんを経験した人を 勇気づけてあげたいなと思って、運動頑張ってます🤭,"【Kaori 744755】
香織さん
こんばんは✨
私も同じ字の香織です💗
とっても親近感🫶🏻
私も同じで、アーカイブたくさんありすぎて眺めてるうちに時間経っちゃいます笑
私は、とりあえず最近のものから取り組むようにしています。
縦開脚・横開脚のアーカイブは前編後編になっているので取り組みやすいですし、基礎中の基礎であれば呼吸法から取り組むのもいいかなと👍

以前の私は肩で呼吸→肋骨が開いてる→反り腰→お腹ぽっこり→前もも張り→巻き肩→首肩凝り→頭痛→歯食いしばり…と振り返ってみると全て原因は呼吸による代償でした😂
体って頭の先からつま先まで全て繋がっているので、どこかにエラーが出るとあちこちに不具合が出てしまうんだなぁ、と実感しました。

ちなみに、私の母は50代で、祖母は70代で乳がんを経験して手術しましたが、2人とも15年経った今も元気です❣️
香織さんも今の頑張りがきっと70代に活きてくると思います✨
若輩者が偉そうにすみません🙏

---

【asami 744405】
香織さんこんばんは🌙
　
私が通っているフロアピラティスのレッスン生には70代の方もいますよ！
みなさんとても元気で姿勢も美しいです✨
私もそんな70代目指すために日々頑張ってます💪

私は椎間板ヘルニアになってしまい発症直後は痛みが酷かったり、よくギックリ腰になってましたが、ピラティスやヨガをはじめて体幹が強くなり腹筋も鍛えられたら痛みもなくなりギックリ腰にも何年もなってません👍

毎日のショートliveレッスンは日によって少しハードな時もありますがオススメです✨（参加されていたらごめんなさい🙏）
アーカイブ一覧の40分以内のレッスンは初心者向けが多いです！呼吸法や基礎のトレーニングもあるのでよかったら眺めてみて下さい！
私も身体かなり硬いので、全部できない時はできる動きだけやったりしてます😅
テーマで気になるワードがあればトライしてみたりしているうちに自分に合ったレッスンを見つける事ができるようになってきました！

参考になるかわかりませんが、香織さんの腰痛が少しでも楽になりますように😌

---

【香織　45058】
わ😍
香織さん！
ありがとうございます！

嬉しくて、涙が出て来ちゃいました😭😭😭

私も歯の食いしばりあります😭

歯医者さんに

噛む力が半端ないって
褒められてます🤣🤣

いざと言う時は
武器を持ってなくても
歯があるから大丈夫‼️笑

そして、お母様とおばあさまも乳がんを経験されたんですね🥺

私は乳がんになったことをきっかけに、梅宮アンナさんと仲良くなって

うちの料理教室にも
ご家族で来てくれたことがあるんです🤭

乳がんでも、それ以外の病気でも
早期発見、早期治療が
大事ですね✨✨

毎日頑張って過ごすのを
発信することで
周りの人を勇気づけられる存在になりたいです💕

---

【香織　45058】
あさみさん
ありがとうございます！

今日は、アーカイブの
お尻トレーニングやってました！

こんなに体を動かすのが
楽しいと感じたのは
きっと乳がんのおかげです😊

乳がんの再発を防ぐには
運動が効果的なので

乳がんになる前よりも
運動習慣がかなりつきました！

姿勢の良い70代目指してがんばります！

ありがとうございました！",香織　45058,"香織　45058, asami 744405, Kaori 744755",2026-04-15,https://discord.com/channels/1441619538293686387/1444479247669530664/1493937668495638561,4
,いつもありがとうございます😊 質問です。 可動域チェック✅は何回参加してもいいのでしょうか？ 毎回子供がいたり、家事しながら聞いてたりしていたのでなかなか集中できなく😣写真も全部撮れていなくて💦 今日は一人で集中してできそうなので参加したいと思ってるのですが…🙏  ポイント制になったので、何回も大丈夫かな？と、思ったので質問させていただきました。,"【タイチ】
### 何回でも大丈夫です👌
参加して頂いた分だけポイントが付きます✨

---

【RIE822458】
私も16日可動域チェックに参加したのですが後半に差し掛かったところでiPhoneのストレージがいっぱいになってしまい、写真が撮れず。。😭
しかも撮影できたものを見返したら、我が子がカメラと私の間に入ってしまい見切れてしまったものが半分以上でした🤣
日中なら一人でいる時間が作れるのでチャンス！と思い、17日の可動域チェックで再戦しました💪
タイチさんからも何回でも参加は大丈夫ですとLIVEで私も回答頂きました！！

小さいお子さんがいると撮影の時に写り込んできたり、撮影ストップされちゃったり、ありますよね🤣うちもあるあるです！！

できる時でも大丈夫なはず！一緒に回数重ねて撮影ポーズ増やしていきましょう📷✨

---

【はる782206】
RIEさん！初めまして。はるです🌸
メッセージいただいていたのに遅くなってしまってすみません🙏💦
最近学校の委員の引き継ぎやらで忙しくなかなかココにこれてなくて😣
今RIEさんのメッセージ発見できたところです🙏
ストレージいっぱい…！！
わかります！！😭

ホント、子供いるときだとなかなかですよね😅
子供は楽しそうですが🤣
お互いコツコツできる時に頑張りましょうね💗
本当にメッセージありがとうございました😆
これからもよろしくお願いします♡",はる782206,"はる782206, RIE822458, タイチ",2026-04-17,https://discord.com/channels/1441619538293686387/1444479247669530664/1494494854670192741,3
,おはようございます😊  毎日楽しくトレーニング動画見ています！  1つ質問です☝️  90分など長い時間の 動画を最初から最後まで見る時間がなかなかなくて  朝と夜に分けて 運動してるのですが  1つの動画を 朝と夜で分けているのは、あまり良くないのでしょうか🥺  毎日、朝と夜に 運動する時間をとってるのですが、 今までは、朝と晩15分ずつ位で 最近ちょっと伸びて 朝と晩30分ずつ位運動してるんですが、それでも時間が足りなくて🤣🤣  もうこれ以上運動の時間 伸ばせなく。。はないけど。。笑  どうしたらいいんでしょうか？🤣😂🤣😂  他の皆さんはどうしてるのかなぁー と思いながらいつも運動しています笑,"【アルム469279】
おはようございます。

僕は時間がない時はショート動画などをみてます。

15から20分とか短い時間なので。

朝と晩で30分時間があるのであれば、30分とかの動画とかもあったと思うのでそちらもおすすめです。

休みの日とか時間が取れるときがあれば90分のアーカイブをやってみるといいと思います。

---

【香織　45058】
ありがとうございます😭😭

それがーー

毎日ショート動画じゃないやつをやりたい気持ちでいっぱいでー😂😂🤣🤣

ショート動画も、朝にやったりとかしてるんですが

魅力的なのがたくさんありすぎて

やりたい気持ちと
時間が反比例してます🤣🤣

---

【なな426430】
香織さん、おはようございます。私はできるだけ一度にやりたいけれど、分けてやることあります。

アーカイブはゴールのポーズに向けて、複数の要素の組み合わせになっているので…2回目以降に続きからやるときは、早回しで前に何やったかな？と確認して、各エクササイズの位置付けや全体の流れをザックリ把握してからやるようにしています。

あとは、アーカイブは一度やって終わりではなく、何回もやって効果が出るものだと思うので…とりあえず、1回目は細切れでも1つ1つのエクササイズに慣れ、2回目は位置付けを意識しながら分けてやり、3回目は時間のある時にできればまとめてやる、みたいなやり方もありかなと思います。

---

【香織　45058】
ありがとうございます😍😍
たしかに
2回目やったものは
1回目よりも、すんなりと頭に入ってきて
腑に落ちるところが多かったです！

がんばってやってみます！

皆さんのやり方、めちゃくちゃ参考になります！",香織　45058,"香織　45058, なな426430, アルム469279",2026-04-22,https://discord.com/channels/1441619538293686387/1444479247669530664/1496283025804365844,4
,いつもレッスンやアーカイブ配信ありがとうございます！  質問です。 【ダウンドッグの基礎作りクラス】でレッスン後の質問タイムで「坐骨を引くのがあまりうまくできなかったのですが、長座で骨盤立てられないのと関係ありますか？」と質問したら、「長座で骨盤立てられないのは坐骨引くのか苦手で、膝と坐骨の距離が縮まってる」と答えていただきましたが、距離を伸ばすにはどうしたら良いでしょうか？ハムストリング緩めるストレッチをしたり、ダウンドックのアーカイブで坐骨を引く練習すれば良いでしょうか？？他にオススメのアーカイブがあれば教えていただきたいです🙏✨,"【Hitomi179012】
asamiさん、初めまして！
タイチさんへの質問かと思いましたが、お待ちの間に私が普段やっている事を共有させて頂ければと思い、コメント失礼します☺️

アーカイブは私もまだあんまり出来てないのですが、私もハムストリングが突っ張る感じがする時多々あるので、筋膜リリースをやっています！ストレッチポールや筋膜リリースボールをお持ちでしたら、それをお尻と裏ももの境目から膝裏の手前にかけてコロコロすると、かなり突っ張り感がなくなります🙆🏻‍♀️
筋膜リリースする方の足は伸ばして、反対の足は膝を立てて、手を床について支えながらやるとバランスが取れると思います😌

---

【asami 744405】
Hitomiさんはじめまして✨
私の質問を気にかけてくだりとても嬉しいです🥹💕

私は普段の生活でもつい前腿使ってしまいハムストリングがパイプの様に硬いんです😅
そのせいで腸腰筋が冬眠状態なので今は目覚めてもらえるlessonを中心にやっています🐻
やっぱりリリースも大切ですよね！！
平日は1時間位しか時間が取れないので筋膜リリースあまりしてませんでした💦
具体的に説明していただいてとてもわかりやすいです🙌
早速やってみますね！

アドバイスありがとうございました😊✨

---

【Hitomi179012】
asami さん、
平日でもしっかり1時間確保されてるの凄いです👏🏻

私もハムストリングはすぐ硬くなってしまいますが、ほぐすしてダウンドックとかするとお尻の上がり方が全然違うので、やっぱり縮んでたんだ😲と実感します笑

お世話になっているセラピストさんからアドバイスされたのですが、負荷が強めな運動をいきなりすると体がビックリして、余計に硬くなってしまうと言われ、私はその状態だったので、平日は運動するよりもリリースを中心に実施しています😊
休日にリリースからしっかり動く所までフルコースです笑

何か良さそうなアーカイブ見つけたらぜひ教えてください☺️

---

【asami 744405】
Hitomiさん✨
確かにある程度ほぐしてからトレーニングしないとですよね💦

タイチさんが柔軟には筋力も必要とおっしゃっていて、リリースと筋トレ両方大切なのですが私はどちらも足りてないので、自主トレの時は両立できるよう心がけたいです✨

アーカイブですが、【No.51膝が曲がるを変える】の中の椅子に座ってストレッチポールを裏腿に当て膝を屈伸させるリリースは私に合ってる気がします。
私はハムストリングが収縮して膝が伸びないので💦
お尻の硬さや筋肉不足も原因だと思うので【4/13の45分クラス】や【No.27】でお尻鍛えてます🍑
もうご覧になってるかもしれませんが😅

Hitomiさんもおすすめアーカイブあったらぜひ教えてくださーい🥰

---

【Hitomi179012】
asamiさん、
アーカイブありがとうございます😊

確かに！ハムストリングが硬い方は膝が伸びないので、私がお伝えした方法だと難しいですね💦盲点でした🥹勉強になります！

タイチさんからもメールが来ていたのでご覧になっているかもしれないですが、「下半身に特化した筋膜リリース」は本当に下半身全体がリリース出来るのでとても良いと思います🙆🏻‍♀️ 私も普段はここまで丁寧に出来ない事が多いですが、自分のお悩み別に取り入れるのも良いかもしれないです😊

---

【はる782206】
@タイチ タイチさん、いつもご丁寧な返信ありがとうこざいます😊
承知しました。

朝早くに起きる意味もなくなってしまいますもんね😆
頑張って早起きも習慣にしていきたいと思います🌞

ありがとうございました。",asami 744405,"Hitomi179012, はる782206, asami 744405",2026-04-22,https://discord.com/channels/1441619538293686387/1444479247669530664/1496442590038458471,6
,いつもありがとうございます。 3月に入会させていただき、動画はアーカイブを拝見しております。 初めての書き込みとなります。  ディスコードとアーカイブ動画をすべて見れていないのですが、まずどの動画を見て取り組むべきなのか、自分のレベルもわからずにいます。 横開脚を頑張っていきたく、いくつか拝見して取り組んでますが、アーカイブ動画はどれがいちばん初めに見るべきだったのか、また一度見た動画を繰り返し取り組むべきなのか、それともステップアップしていくのか、ステップアップするには何の動画をどの順番で見る必要があるのかわからずにいます。 たくさん提供してくださってるコンテンツの内容をしっかりいかせてない自分にもどかしさを感じており… 質問内容もまとまらず申し訳ありませんが、アドバイスいただけますと幸いです。 よろしくお願いいたします。,"【タイチ】
いつもありがとうございます😊
そして初めての書き込み、とても嬉しいです！

今のように
「どれからやればいいか分からない」
という状態になるのは恐らくほとんどの方が思っていることだと思うので１つご安心頂ければと思います！

その対策として今、ちょうど
開脚までのSTEPを4段階に分けたカリキュラムを作成しており、
本来であれば昨日配信予定だったのですが、
息子の事情で少し遅れてしまっています🙏

申し訳ございません。

完成次第、全体告知で配信しますので
まずはそちらをベースに進めていただければ大丈夫です！

それまでの間は👇

・前屈系・ダウンドッグの基礎クラス
・上半身・下半身の筋膜リリース編

この2つを中心に、
同じ動画を繰り返し取り組む形でOKです！

開脚は
「いろんな動画をやる」よりも
1つ1つの動きを正しく積み重ねることが一番大事なので、筋肉痛がひどくない限りは同じものを繰り返しおこなって頂いて問題ありません⭕️

---

【うめ822594】
お忙しい中ご回答くださりありがとうございます🙇‍♀️
カリキュラム作成してくださってるとのこと、楽しみです！
小さなお子様がいらっしゃるとても貴重な毎日の中で、コンテンツを提供してくださってること、本当にありがたく思ってます🙏

ご教示いただいた動画にまずは取り組んでいきます✨
ありがとうございます！",うめ822594,"うめ822594, タイチ",2026-04-26,https://discord.com/channels/1441619538293686387/1444479247669530664/1497914379734220831,2
,毎日ボディメイククラスのところを見ると、zoomのIDとPW出てますよ,"【K 822392】
まみぞうさん、ありがとうございます！！迷子になってました。参加できました。

---

【まみぞう(９期生)822109】
良かったです🧡

---

【K 822392】
ほんとに助かりました🥹 こちらの質問に気づいて教えてくださりありがとうございました❤️

---

【まみぞう(９期生)822109】
実は私も少し前に迷子になってました😅
ちょうどスマホを見ながら、zoomを開いた直後でしたので、タイミング良かったです👍",まみぞう(９期生)822109,"K 822392, まみぞう(９期生)822109",2026-04-27,https://discord.com/channels/1441619538293686387/1444479247669530664/1498293636063039529,4
,いつもご丁寧な返信、レッスンをありがとうこざいます😊 質問です。 早朝LIVEレッスンのアーカイブはありますか？ どなたかご質問されていたらすみません🙏  よろしくお願いいたします。,"【タイチ】
早朝クラスのアーカイブは一応データとして残してはいるのですが、コンテンツを全てアーカイブ化すると、あまりにも増えすぎて、皆さんが何をすればいいのかさらに迷われると思うので、今のところ残す予定はないです！

基本的にアーカイブは僕のコンテンツをおこなうことを推奨しています！
時短トレや、筋膜リリース編、最近では30分〜45分ショートバージョンのクラスも出してるのでそちらのアーカイブを視聴することをオススメします🙂‍↕️

https://www.notion.so/FBC-2b6079b8449d80a59f72f26ab6ffa417?source=copy_link",はる782206,タイチ,2026-04-30,https://discord.com/channels/1441619538293686387/1444479247669530664/1499330465193136218,1
,いつもお世話になっております  縦開脚、横開脚を頑張るにあたって、動画内でレクチャーしていただいてるお尻トレーニングを普段の筋トレに取り入れたりと試みています。  お尻外側とお尻と腿の付け根あたりに筋肉痛が出てきました。そうすると、縦開脚や横開脚の深さが筋肉痛になる前よりも浅くなって、焦ってしまいます。  このまま、お尻トレーニングは継続した方が良いのか、筋肉痛が出た際の対処法や、ストレッチにどう向き合っていくのか、教えてもらえたら嬉しいです！,"【asami 744405】
まつださんはじめまして☺️

タイチさんが筋肉痛について
『運営発信♯タイチの呟き【筋肉痛をどう捉えるべきか】』
でお話しされてますので、タイチさんからご返答があるまで参考になると思います！
すでにご覧になっていたらごめんなさい🙏💦

私はサロンに入るまであまり体動かす生活してなかったので初めは筋肉痛との戦いでしたが、これを読んで筋肉痛は「成長痛」だと思って体の変化を楽しんでいる最中です✨

---

【アルム469279】
https://discord.com/channels/1441619538293686387/1446502415070269571/1451055033893392384

あさみさんがいってるのは
この話だと思います。

---

【asami 744405】
アルムさん
リンク貼ればわかりやすかったですね😅
ありがとうございます😊

---

【タイチ】
筋肉痛が出るのは、
“使えていなかったお尻”が働き始めた良い反応の可能性が高いです！
その状態で開脚が浅くなるのも自然です！

硬くなったというより、
痛みから守ろうとして身体が力んでいる状態なので柔軟性が落ちたわけではありません🙂‍↕️

お尻が使えるようになると、
✔ 骨盤が安定する
✔ 股関節がハマる
✔ 痛めにくくなる
ので、最終的に深い開脚へ繋がります🙆‍♂️

ただ筋肉痛が強い日は、

・無理に開かない
・軽く動かす
・筋膜リリースをする

くらいで大丈夫なので、筋肉痛後には戻り、また柔軟をおこなえば問題なく可動域は上がっていきますのでご安心下さい👌",まつだ822477,"アルム469279, asami 744405, タイチ",2026-05-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1502273976309776384,4
,5/8脚の後面ワークアウトに参加しました。 かかとを床に押し付けながら膝を曲げる時は腿裏に力が入ってるのは分かるんですが、脚を床から離して膝を曲げると、前腿にどーしても力が入ってしまいます。お腹薄くして姿勢も意識はしてますが腸腰筋の使い方がイマイチ分かりません あと、どのアーカイブを参考にすればいいのか教えて頂けるとありがたいです。,"【タイチ】
お腹を薄くキープできているのは⭕️です！

その上で、

✔ 下腹部まで締まっているか
✔ 坐骨で床を押せているか
✔ 骨盤前傾が少し作れているか

ここも確認してみてください！

さらに、
“内腿を軽く使う意識”を入れながら膝を引き寄せると、
前腿の力みが減りやすいです！

もし感覚が掴みにくければ、
最新の「床反力クラス」アーカイブがおすすめなので、トライしてみて下さい🙂‍↕️

---

【タイチ】
お返事遅くなり、お待たせしました🙇‍♂️

脚を床から離した瞬間に前腿に入りやすいのは、
「床を押す感覚」が抜けてしまっているのが原因の1つかと思います！

まずは、坐骨で床を押し骨盤を起こす。
そこからもも裏を使う意識で引き込む。

特に“床反力”を使えるようになると、
前腿で無理に持ち上げる感覚が減って、腸腰筋やもも裏がかなり使いやすくなってきます！

それでも前腿に入りやすい場合は、内腿（内転筋）のトレーニングもかなり重要なので、そちらも意識してみてください！

おすすめアーカイブは、
①床反力クラス
②54 ブレない軸を作る ボートポーズチャレンジ

あたりが特に参考になると思います🔥",岡本陽子111559,タイチ,2026-05-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1502306282646929659,2
,タイチさんいつもご丁寧なレッスンをありがとうこざいます😊 質問です。 Level10のオンラインパーソナル申し込みの期限はありますか？,"【タイチ】
はるさんお問い合わせありがとうございます✨
特典のパーソナル機嫌に関しては、特に設けていませんのでご周知下さい😊

---

【はる782206】
タイチさん、いつもありがとうございます。
特に設けてないのですね👀
助かります✨
タイミングを見て、ゆっくり返信したいと思います。
よろしくお願いします😊",はる782206,"はる782206, タイチ",2026-05-10,https://discord.com/channels/1441619538293686387/1444479247669530664/1502855223205564538,2
,皆さまに質問です🙇‍♂️ メンズのヨガウェアを探しているのですが、実際に使って良かったメーカーさんや、おすすめの商品があれば教えていただけないでしょうか？  動きやすさ重視で、ヨガやストレッチに向いているものを探しています。よろしくお願いします🙇,"【タイチ】
ルルレモンorゼクシィミックスおすすめです！
匂いも気になりにくいし、長持ちもします！
可動域MAXで動いてもよれにくい👕

オススメです！

---

【たーくん 782461】
タイチさんありがとうございます🙇　早速探してみます！",たーくん 782461,"たーくん 782461, タイチ",2026-05-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1503980797789606000,2
,お世話になります。　 いつもわかりやすいレクチャーありがとうございます😊 「床反力を鍛えて、痛めないしなやさかを作る」に参加しました。 長座で膝を曲げた状態から、片足ずつ引き寄せる動きで、どうしても右足だけ軽くしか引くことが出来ず、骨盤も倒れやすいような気がします。左右差が大きいです。 いつも右の腸腰筋の詰まりを感じて、たまにリリースボールでほぐすのですが、変化する感じがしないです。 何かアドバイスいただけたらうれしいです。 よろしくお願いします。,"【タイチ】
左右差がある状態ですね！

特に右足は、
腸腰筋の“使える可動域”がまだ脳にインプットされていない可能性があります💡

なので、
右足だけバンドを足裏に巻いて、
外的補助を使いながら引き寄せるのもおすすめです✨

そうすると脳が
「右足ってここまで腸腰筋で動かせるんだ！」
と少しずつ覚え始め、
神経系の動きが繋がりやすくなります🙂‍↕️

無理に高く上げるより、
骨盤を安定させながら丁寧に繰り返すのがポイントです！

---

【あず45454】
お忙しい中、ありがとうございます‼️
バンドを使ってコツコツやってみます💪",あず45454,"あず45454, タイチ",2026-05-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1504108274503389336,2
,質問失礼します。 床反力を鍛えるレッスンに参加させていただきました😊  側屈の際、伸ばしている足側の坐骨を押してしまい、曲げている足側の坐骨を上手く押せなかったのですが、可動域よりも倒しすぎているのか、やり方が間違っているでしょうか。 なるべく倒すことよりも坐骨を押せる範囲で倒すようにした方が効果は高いですか？ ご多忙中とは存じますが、またお手隙の際に教えていただけましたら幸いです😊 よろしくお願いいたします🙇‍♀️,"【タイチ】
おっしゃる通りなるべく倒すことよりも、
曲げている脚側の坐骨で床を押し、骨盤が安定したままおこなう方が効果は高いです✨

特にその感覚があると、
腰の側面奥側のインナーまでしっかり伸びやすくなります！

逆に、
倒すことを優先しすぎると、
骨盤が傾くことでお腹側面が潰れ伸ばしたい場所が抜けるので、押せる範囲で倒す意識で大丈夫です🙆‍♂️

---

【Aki763562】
ご回答ありがとうございます😊
承知しました🫡！
押す方を意識して行っていきたいと思います😊
お忙しい中ご回答ありがとうございます✨",Aki763562,"Aki763562, タイチ",2026-05-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1504162018557427713,2
,5/13のレッスンの際、坐骨の方は分かりやすかったのですが、足底で床を押す感覚が掴めませんでした。 踵と母指球、踵と小指球はそれぞれできるのですが、3点で満遍なく押す感覚がわかりません。また、母指球側を意識すると内側の筋肉が使われるとおっしゃっていたような気がするのですが、それもあまり分かりませんでした。ショート動画でも同じような動画があったのでやってみたのですが、こちらも使っている感覚が分からず…。 内転筋が弱いorストレッチが足りていないのでしょうか…？  コツや参考になるアーカイブ動画などがあれば教えていただきたいです！,"【タイチ】
母指球側でボールを踏んでおこなった時は、
足裏で押す感覚はありましたか？🤔

基本的に「3点で立つ」とは言いますが、
実際は“3点だけに乗る”というより、つま先側だけ小指側だけ
踵だけなどに偏らず、
足裏全体で満遍なく踏めている感覚に近いです💡

なので、
「3点を完璧に感じなきゃ！」と思わなくて大丈夫です👌

また、
母指球側を使うと内転筋が入りやすいのはありますが、
最初はかなり感覚が分かりづらい方も多いです！

なので、内転筋が弱いというより“まだ神経的に繋がっていない段階”の可能性が高いです！

もし踏めている感覚が薄ければ、①母指球側②小指球側③踵側

それぞれにボールを置いて、
踏みながらお辞儀するエクササイズを試してみてください！

感覚が繋がりやすくなると思います🦵",蒼743048,タイチ,2026-05-15,https://discord.com/channels/1441619538293686387/1444479247669530664/1504681999871512747,1
,本日のLIVEレッスン参加しました。 股関節を外旋して　縦開脚・スワンのポーズ・更にピジョンと進む中でどうしても左右差が。 右膝は落としてある程度床に届きますが左はどうにも無理で……お尻の筋肉も使えている感じがしません。😖  ロードマップを初めから！が重要ですか？,"【Tomoyo821741】
私も左右差がハッキリ！

muraoさんと逆で、
左のお尻にききましたが、右は上手く使えませんでした！
今もジンジン感は左がより強く……

どこに戻ってトレーニングしたらよいか、とっても気になりますね🥺😄

---

【タイチ】
クラムシェルをした時も、
左右差は感じましたか？

片側の腰側面が硬くなっていると、お尻の筋肉が入りづらくなり、股関節の外旋にも左右差が出やすくなります💡

なので、①側屈や
②【30分クラス】背骨をリセット｜胸椎伸展をスムーズにしよう！
なども入れながら、腰側面の左右差を減らしていくのもおすすめです✨

特に、
骨盤底筋＋お腹を薄く保ちながらクラムシェルをおこなうと、
お尻の入り方がかなり変わりやすいです🔥

なのでクラムシェルは継続しつつ“腰側面の硬さの左右差”も一緒に整えてみてください😊

---

【タイチ】
Tomoyoさんも
ぜひ☝️の回答を参考にしながら

・クラムシェル
・側屈
・胸椎伸展クラス

などを組み合わせて取り組んでみてください😊🔥

---

【murao 763400】
・クラムシェルはどちらも出来てない状態で左右差はない感じ
・側屈は左右とも全く爪先には届かず　硬いです。
・膝痛があり　正座あぐらは上手く出来ない状態

でも、それなりに整えていけるように少しずつ取り組んでみます",murao 763400,"Tomoyo821741, murao 763400, タイチ",2026-05-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1505078404565958737,4
,「背骨をリセット、胸骨伸展」のリアタイ、アーカイブどちらでも感じたのですが、肘を肩の高さに上げた状態から90度に曲げてくる動きと、その後体側を側屈させる動きで、特に体側側屈の方は、普通に体を曲げてしまえば側屈になるので、どこをどう使って側屈を取るのが正解か分かりませんでした💦  また、正座の状態で肘を90度に曲げて回旋する動きで、途中まで行くと、肩周辺が痛くなりどんどん肘が肩の高さよりも下がっていってしまいます。  この2点の正しい動きについて教えて頂きたいです！,"【タイチ】
側屈の動きは、“ただ体を横に倒す”ことが目的ではなく、
最初に肘を引き寄せる時に使った広背筋と大円筋の収縮を、
側屈した時により強く感じられるかがポイントです💡

なので、
「どこを伸ばすか」よりも、
“脇〜背中側面で側屈する”感覚でいきなり側屈せずに、まず①背中を使った②感じたままゆっくり丁寧に側屈を深める
を意識してみてください！

また、
回旋で肩が辛くなるのは、
①肩甲骨が上がる
②僧帽筋や肩が力む
この状態になっている可能性が高いです💡

なので、①肩甲骨を下げる
②鎖骨を長く保つ③胸を軽く立てる

を意識したまま、
肘を後ろへ引いてみてください！

☝️最初の肘を曲げて引き寄せる時に使った広背筋・大円筋で肩甲骨を下げられると、
肩甲骨が寄る感覚がかなり分かりやすくなると思うので、
感じられるとはなまるです💮

---

【Hitomi179012】
タイチさん、ありがとうございます🙇🏻‍♀️

教えて頂いた事を意識して、もう一度やってみます💪🏻",Hitomi179012,"Hitomi179012, タイチ",2026-05-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1505142213426942013,2
,5/16LIVEレッスン参加しました。 ①スワンのポーズで前脚をマットと平行、足首90度にセットするのもやっとです。徐々に前脚が手前に引き込んでしまうようになってしまいます。床についている小指側側面押す意識はありますが、痛いです。改善できないでしょうか？  ②横開脚で膝を床に押しつける感覚、お尻をプリっとするのがわかるようになってきました。胸から前屈というときに背中が丸まってしまいます。どうしたらよいでしょうか？,"【タイチ】
①痛いのは、床を押している足側でしょうか？

その場合は、まずタオルなどを敷いて調整してみてください✨

また、脚が手前に戻ってきてしまうのは、まだ股関節の外旋＋お尻の筋力が足りていない状態の可能性が高いです💡

なので今は、お尻の筋力UPと
外旋可動域UPを優先したいのでアーカイブは引き続きおこなって下さい！

加えて、膝が曲がってくる場合は、裏ももに力が入りすぎていることもあるので、適時チェックしながらおこなってみてください💡

②横開脚の感覚が芽生えてきているの素晴らしいです🔥

この時の前屈は、“胸から倒す”
というより、
①背骨の反りを保ったまま
②骨盤を前傾し続ける

ことで倒れていく感覚が理想です✨

なので、上半身は「反ったまま」の意識でOKです

“前に倒す”ではなく、
「あ、骨盤が前傾したから、
反ったまま勝手に倒れていく。」
この感覚を目指します！

---

【ようこ 772420】
ありがとうございます🙏 ❤️ 
①アーカイブをコツコツ続けてみます。股関節外旋とお尻🍑✨ 
②骨盤前傾すれば勝手にうごく。前傾のアーカイブをチャレンジしてみます。

---

【タイチ】
背中トレも意識してやってみて下さいね✨

---

【ようこ 772420】
背中も👀❗やってみます✨",ようこ 772420,"ようこ 772420, タイチ",2026-05-16,https://discord.com/channels/1441619538293686387/1444479247669530664/1505152468223262920,4
,お世話になっております😊 膝が曲がるを変えるレッスンを受講したのですが、 意識を抜くとどうしても前腿に力が入ってしまっています。 前腿で押してるというよりは、 前腿を上に引き上げて緊張させてしまっている状態です。 何度かアーカイブ見て注意点も気にしながらやってるのですが、どうしても前腿を緊張させてしまうのを止められません。 どのようにアプローチしたら良いでしょうか😣 もし既出の質問でしたらすみません💦  ちなみにですが、前屈はかなり深まって、ほぼガラケー状態までもっていけています！（まだまだ腿裏ふくらはぎ痛いですが😂） またお手隙の際にご回答いただけたら幸いです。 よろしくお願いいたします🙇‍♀️,"【Aki763562】
繰り返し行ううちに裏腿、膝裏の使い方がわかってきて、前腿を使わずにできるようになりました！
ありがとうございました😊",Aki763562,Aki763562,2026-05-19,https://discord.com/channels/1441619538293686387/1444479247669530664/1506254149736468502,1
,5月16日のアーカイブ配信がされていないようなのですが、配信はされないのでしょうか？ よろしくお願い致します。,"【タイチ】
返信お待たせしております。

確認したところ、5月16日のクラスは機材トラブルにより録画が正常に保存されておらず、アーカイブを残すことができておりませんでした。

楽しみにお待ちいただいていた中、申し訳ありません🙇‍♂️
今後は再発防止に努めますので、ご理解いただけますと幸いです。",Himeka25585,タイチ,2026-05-28,https://discord.com/channels/1441619538293686387/1444479247669530664/1509510336552632330,1
